Lat, Lon
8.131966, 93.453045
8.125954, 93.455866
8.124779, 93.458347
8.125931, 93.461159
8.128599, 93.461657
8.132603, 93.458683
8.134106, 93.459181
8.132746, 93.462656
8.133902, 93.464972
8.138075, 93.464813
8.139751, 93.462498
8.138426, 93.457840
8.139597, 93.455521
8.140953, 93.453362
8.140123, 93.449730
8.141293, 93.448574
8.146948, 93.449888
8.152122, 93.450380
8.159452, 93.448877
8.164270, 93.448404
8.168922, 93.449060
8.173601, 93.449219
8.176239, 93.451708
8.177361, 93.461634
8.179502, 93.467773
8.184149, 93.475565
8.187468, 93.477566
8.198570, 93.485985
8.207376, 93.487146
8.217369, 93.488308
8.219999, 93.497099
8.224945, 93.508869
8.226074, 93.516481
8.224678, 93.527092
8.221306, 93.535889
8.213310, 93.537386
8.198835, 93.538040
8.189013, 93.535225
NaN, NaN
8.222631, 93.243853
8.221724, 93.242249
8.223129, 93.236063
8.224739, 93.232172
8.227051, 93.228962
8.229136, 93.225986
8.230055, 93.223688
8.231432, 93.220932
8.235361, 93.219313
8.240412, 93.217257
8.244793, 93.217474
8.249861, 93.217236
8.254210, 93.221792
8.256962, 93.225702
8.257633, 93.230947
8.255573, 93.234159
8.251411, 93.237137
8.247046, 93.238768
8.240826, 93.241985
8.235069, 93.244743
8.228603, 93.245668
8.224245, 93.245674
8.222631, 93.243853
NaN, NaN
8.299051, 73.015480
8.298843, 73.014212
8.299225, 73.012415
8.300432, 73.013226
8.302200, 73.014454
8.301857, 73.015390
8.300909, 73.015823
8.300180, 73.015919
8.299395, 73.015913
8.299051, 73.015480
NaN, NaN
8.269857, 73.055828
8.267374, 73.053648
8.265242, 73.051626
8.263819, 73.050108
8.262398, 73.048761
8.262012, 73.047384
8.261625, 73.045839
8.261633, 73.045113
8.261127, 73.042915
8.261183, 73.040625
8.261789, 73.038448
8.262650, 73.036356
8.262739, 73.034088
8.263124, 73.031834
8.263374, 73.029560
8.263563, 73.027328
8.264536, 73.024755
8.266497, 73.020784
8.269587, 73.019918
8.271387, 73.020439
8.270308, 73.022472
8.269333, 73.024544
8.269232, 73.025471
8.269087, 73.026796
8.268545, 73.029007
8.268242, 73.031281
8.268333, 73.033583
8.268471, 73.035835
8.268677, 73.038313
8.269793, 73.042294
8.270506, 73.044416
8.271334, 73.046404
8.272732, 73.048204
8.273991, 73.050127
8.275661, 73.051968
8.276997, 73.053467
8.278893, 73.054754
8.280720, 73.056143
8.282455, 73.057556
8.284346, 73.058836
8.285917, 73.060490
8.287624, 73.061966
